16.11.2020 21:19:47 - name: ivysaur; abilities: overgrow, chlorophyll
16.11.2020 21:19:48 - name: venusaur; abilities: overgrow, chlorophyll
16.11.2020 21:19:48 - name: charmander; abilities: blaze, solar-power
16.11.2020 21:19:49 - name: charmeleon; abilities: blaze, solar-power
16.11.2020 21:19:49 - name: charizard; abilities: blaze, solar-power
16.11.2020 21:19:49 - name: squirtle; abilities: torrent, rain-dish
16.11.2020 21:19:50 - name: wartortle; abilities: torrent, rain-dish
16.11.2020 21:19:50 - name: blastoise; abilities: torrent, rain-dish
16.11.2020 21:19:50 - name: caterpie; abilities: shield-dust, run-away
16.11.2020 21:19:50 - name: metapod; abilities: shed-skin
16.11.2020 21:19:51 - name: butterfree; abilities: compound-eyes, tinted-lens
16.11.2020 21:19:51 - name: weedle; abilities: shield-dust, run-away
16.11.2020 21:19:51 - name: kakuna; abilities: shed-skin
16.11.2020 21:19:52 - name: beedrill; abilities: swarm, sniper
16.11.2020 21:19:52 - name: pidgey; abilities: keen-eye, tangled-feet, big-pecks
16.11.2020 21:19:52 - name: pidgeotto; abilities: keen-eye, tangled-feet, big-pecks
16.11.2020 21:19:53 - name: pidgeot; abilities: keen-eye, tangled-feet, big-pecks
16.11.2020 21:19:53 - name: rattata; abilities: run-away, guts, hustle
16.11.2020 21:19:53 - name: raticate; abilities: run-away, guts, hustle
16.11.2020 21:19:54 - name: spearow; abilities: keen-eye, sniper
16.11.2020 21:19:54 - name: venusaur; abilities: overgrow, chlorophyll
16.11.2020 21:19:55 - name: charmander; abilities: blaze, solar-power
16.11.2020 21:19:55 - name: charmeleon; abilities: blaze, solar-power
16.11.2020 21:19:56 - name: charizard; abilities: blaze, solar-power
16.11.2020 21:19:56 - name: squirtle; abilities: torrent, rain-dish
16.11.2020 21:19:57 - name: wartortle; abilities: torrent, rain-dish
16.11.2020 21:19:57 - name: blastoise; abilities: torrent, rain-dish
16.11.2020 21:19:57 - name: caterpie; abilities: shield-dust, run-away
16.11.2020 21:19:58 - name: metapod; abilities: shed-skin
16.11.2020 21:19:58 - name: butterfree; abilities: compound-eyes, tinted-lens
16.11.2020 21:19:58 - name: weedle; abilities: shield-dust, run-away
16.11.2020 21:19:58 - name: kakuna; abilities: shed-skin
16.11.2020 21:19:59 - name: beedrill; abilities: swarm, sniper
16.11.2020 21:19:59 - name: pidgey; abilities: keen-eye, tangled-feet, big-pecks
16.11.2020 21:19:59 - name: pidgeotto; abilities: keen-eye, tangled-feet, big-pecks
16.11.2020 21:20:00 - name: pidgeot; abilities: keen-eye, tangled-feet, big-pecks
16.11.2020 21:20:00 - name: rattata; abilities: run-away, guts, hustle
16.11.2020 21:20:01 - name: raticate; abilities: run-away, guts, hustle
16.11.2020 21:20:01 - name: spearow; abilities: keen-eye, sniper
16.11.2020 21:20:02 - name: fearow; abilities: keen-eye, sniper
16.11.2020 21:20:02 - name: charmander; abilities: blaze, solar-power
16.11.2020 21:20:03 - name: charmeleon; abilities: blaze, solar-power
16.11.2020 21:20:03 - name: charizard; abilities: blaze, solar-power
16.11.2020 21:20:04 - name: squirtle; abilities: torrent, rain-dish
16.11.2020 21:20:04 - name: wartortle; abilities: torrent, rain-dish
16.11.2020 21:20:04 - name: blastoise; abilities: torrent, rain-dish
16.11.2020 21:20:05 - name: caterpie; abilities: shield-dust, run-away
16.11.2020 21:20:05 - name: metapod; abilities: shed-skin
16.11.2020 21:20:05 - name: butterfree; abilities: compound-eyes, tinted-lens
16.11.2020 21:20:05 - name: weedle; abilities: shield-dust, run-away
16.11.2020 21:20:06 - name: kakuna; abilities: shed-skin
16.11.2020 21:20:06 - name: beedrill; abilities: swarm, sniper
16.11.2020 21:20:06 - name: pidgey; abilities: keen-eye, tangled-feet, big-pecks
16.11.2020 21:20:07 - name: pidgeotto; abilities: keen-eye, tangled-feet, big-pecks
16.11.2020 21:20:07 - name: pidgeot; abilities: keen-eye, tangled-feet, big-pecks
16.11.2020 21:20:08 - name: rattata; abilities: run-away, guts, hustle
16.11.2020 21:20:08 - name: raticate; abilities: run-away, guts, hustle
16.11.2020 21:20:08 - name: spearow; abilities: keen-eye, sniper
16.11.2020 21:20:09 - name: fearow; abilities: keen-eye, sniper
16.11.2020 21:20:09 - name: ekans; abilities: intimidate, shed-skin, unnerve
16.11.2020 21:20:10 - name: charmeleon; abilities: blaze, solar-power
16.11.2020 21:20:10 - name: charizard; abilities: blaze, solar-power
16.11.2020 21:20:11 - name: squirtle; abilities: torrent, rain-dish
16.11.2020 21:20:11 - name: wartortle; abilities: torrent, rain-dish
